id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_udp,service_dns,service_http,service_https,service_irc,service_ntp,service_ssh
41040,80,3.139211,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41040,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41040,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41040,80,1.477656,149.0,128252.0,5,2896,3,94,5525,96,139044,0,False,False,True,False,False,False,False
41042,80,3.147116,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41042,80,1.305004,151.0,128348.0,5,5792,3,96,5699,92,133140,0,False,False,True,False,False,False,False
41044,80,1.004605,148.0,91961.0,5,2896,3,67,4148,65,92453,0,False,False,True,False,False,False,False
41046,80,4.129647,148.0,99303.0,5,5792,3,75,4412,69,97107,0,False,False,True,False,False,False,False
41048,80,3.114215,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41048,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41048,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.001496,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
41048,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41048,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.001495,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
41050,80,3.158705,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41050,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41050,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
41050,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.001495,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
41050,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.014232,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
41052,80,2.299441,151.0,164266.0,5,5792,2,114,6607,117,168910,0,False,False,True,False,False,False,False
48986,6667,3.107733,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41056,80,3.136227,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41056,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41056,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.001748,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
41056,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
41056,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
123,123,0.11543,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
41058,80,3.158698,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41058,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
41058,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.068707,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
41058,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
40831,22,502.919185,952.0,17192.0,5,0,1,200,11444,184,28048,0,False,False,False,False,False,False,True
41058,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.005231,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
123,123,0.010235,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
41060,80,3.118724,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
41060,80,1.22805,151.0,124067.0,5,2896,3,93,5571,92,131755,0,False,False,True,False,False,False,False
41064,80,3.093744,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
48998,6667,3.097488,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41064,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
48998,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
41064,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49004,6667,3.124484,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
123,123,0.001496,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
49004,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49006,6667,3.122724,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41064,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49006,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49008,6667,3.120734,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49008,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49010,6667,3.118725,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49010,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49012,6667,3.116726,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41064,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49014,6667,3.115707,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49014,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49016,6667,3.113737,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49016,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49018,6667,3.111728,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49018,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
123,123,0.001498,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
49020,6667,3.109484,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49020,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49022,6667,3.107231,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49022,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49024,6667,3.105229,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49024,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49026,6667,3.103231,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49026,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
41096,80,3.158703,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
49030,6667,3.101231,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41096,80,0.885992,149.0,84592.0,5,2896,3,62,3689,60,84824,0,False,False,True,False,False,False,False
41100,80,3.107729,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
49030,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49034,6667,3.098977,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41100,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49034,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49036,6667,3.096735,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41100,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.073952,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
49036,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49038,6667,3.094737,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49038,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
41100,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49040,6667,3.092739,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49040,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49050,6667,3.094738,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49050,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
49052,6667,3.092739,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41100,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49052,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49054,6667,3.090486,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49054,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49056,6667,3.088476,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
123,123,0.023984,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
49056,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49060,6667,3.107985,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49060,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49072,6667,3.112743,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49072,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
49082,6667,3.095254,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
123,123,0.0,0.0,0.0,2,0,978,1,76,0,0,0,True,False,False,False,False,True,False
49084,6667,3.107988,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
41154,80,3.158697,0.0,0.0,2,0,5417,3,180,0,0,0,False,False,True,False,False,False,False
49084,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
41154,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
49088,6667,3.105976,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49088,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
41154,80,0.0,0.0,0.0,2,0,5417,1,60,0,0,0,False,False,True,False,False,False,False
123,123,0.001484,48.0,48.0,5,0,836,1,76,1,76,0,True,False,False,False,False,True,False
48994,6667,1.128098,75.0,243.0,4,0,1477,7,447,6,563,1,False,False,False,False,True,False,False
49090,6667,3.103981,0.0,0.0,2,0,5417,3,180,0,0,1,False,False,False,False,True,False,False
49090,6667,0.0,0.0,0.0,2,0,5417,1,60,0,0,1,False,False,False,False,True,False,False
