id.orig_p,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
41040,80,tcp,http,3.139211,0.0,0.0,S0,0,S,3,180,0,0,Benign
41040,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41040,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41040,80,tcp,http,1.477656,149.0,128252.0,SF,2896,ShADadttcfF,94,5525,96,139044,Benign
41042,80,tcp,http,3.147116,0.0,0.0,S0,0,S,3,180,0,0,Benign
41042,80,tcp,http,1.305004,151.0,128348.0,SF,5792,ShADadttcfF,96,5699,92,133140,Benign
41044,80,tcp,http,1.004605,148.0,91961.0,SF,2896,ShADadtcfF,67,4148,65,92453,Benign
41046,80,tcp,http,4.129647,148.0,99303.0,SF,5792,ShADadtcfF,75,4412,69,97107,Benign
41048,80,tcp,http,3.114215,0.0,0.0,S0,0,S,3,180,0,0,Benign
41048,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41048,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.001496,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
41048,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41048,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.001495,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
41050,80,tcp,http,3.158705,0.0,0.0,S0,0,S,3,180,0,0,Benign
41050,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41050,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
41050,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.001495,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
41050,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.014232,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
41052,80,tcp,http,2.299441,151.0,164266.0,SF,5792,ShADadtctfF,114,6607,117,168910,Benign
48986,6667,tcp,irc,3.107733,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41056,80,tcp,http,3.136227,0.0,0.0,S0,0,S,3,180,0,0,Benign
41056,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41056,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.001748,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
41056,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
41056,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
123,123,udp,ntp,0.11543,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
41058,80,tcp,http,3.158698,0.0,0.0,S0,0,S,3,180,0,0,Benign
41058,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
41058,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.068707,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
41058,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
40831,22,tcp,ssh,502.919185,952.0,17192.0,SF,0,DdAtaFf,200,11444,184,28048,Benign
41058,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.005231,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
123,123,udp,ntp,0.010235,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
41060,80,tcp,http,3.118724,0.0,0.0,S0,0,S,3,180,0,0,Benign
41060,80,tcp,http,1.22805,151.0,124067.0,SF,2896,ShADadttcfF,93,5571,92,131755,Benign
41064,80,tcp,http,3.093744,0.0,0.0,S0,0,S,3,180,0,0,Benign
48998,6667,tcp,irc,3.097488,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41064,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
48998,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
41064,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49004,6667,tcp,irc,3.124484,0.0,0.0,S0,0,S,3,180,0,0,Malicious
123,123,udp,ntp,0.001496,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
49004,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49006,6667,tcp,irc,3.122724,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41064,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49006,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49008,6667,tcp,irc,3.120734,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49008,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49010,6667,tcp,irc,3.118725,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49010,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49012,6667,tcp,irc,3.116726,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41064,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49014,6667,tcp,irc,3.115707,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49014,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49016,6667,tcp,irc,3.113737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49016,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49018,6667,tcp,irc,3.111728,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49018,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
123,123,udp,ntp,0.001498,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
49020,6667,tcp,irc,3.109484,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49020,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49022,6667,tcp,irc,3.107231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49022,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49024,6667,tcp,irc,3.105229,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49024,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49026,6667,tcp,irc,3.103231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49026,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
41096,80,tcp,http,3.158703,0.0,0.0,S0,0,S,3,180,0,0,Benign
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
49030,6667,tcp,irc,3.101231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41096,80,tcp,http,0.885992,149.0,84592.0,SF,2896,ShADadtcfF,62,3689,60,84824,Benign
41100,80,tcp,http,3.107729,0.0,0.0,S0,0,S,3,180,0,0,Benign
49030,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49034,6667,tcp,irc,3.098977,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41100,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49034,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49036,6667,tcp,irc,3.096735,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41100,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.073952,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
49036,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49038,6667,tcp,irc,3.094737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49038,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
41100,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49040,6667,tcp,irc,3.092739,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49040,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49050,6667,tcp,irc,3.094738,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49050,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
49052,6667,tcp,irc,3.092739,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41100,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49052,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49054,6667,tcp,irc,3.090486,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49054,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49056,6667,tcp,irc,3.088476,0.0,0.0,S0,0,S,3,180,0,0,Malicious
123,123,udp,ntp,0.023984,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
49056,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49060,6667,tcp,irc,3.107985,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49060,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49072,6667,tcp,irc,3.112743,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49072,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
49082,6667,tcp,irc,3.095254,0.0,0.0,S0,0,S,3,180,0,0,Malicious
123,123,udp,ntp,0.0,0.0,0.0,S0,0,D,1,76,0,0,Benign
49084,6667,tcp,irc,3.107988,0.0,0.0,S0,0,S,3,180,0,0,Malicious
41154,80,tcp,http,3.158697,0.0,0.0,S0,0,S,3,180,0,0,Benign
49084,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
41154,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49088,6667,tcp,irc,3.105976,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49088,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
41154,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
123,123,udp,ntp,0.001484,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
48994,6667,tcp,irc,1.128098,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
49090,6667,tcp,irc,3.103981,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49090,6667,tcp,irc,0.0,0.0,0.0,S0,0,S,1,60,0,0,Malicious
41154,80,tcp,http,0.0,0.0,0.0,S0,0,S,1,60,0,0,Benign
49094,6667,tcp,irc,3.083745,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49002,6667,tcp,irc,1.484655,75.0,243.0,S3,0,ShAdDaf,7,447,8,667,Malicious
49000,6667,tcp,irc,4.095418,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
